Feature,Mean_Abs_SHAP
OverTime,0.048975259359871515
Age,0.040889353592725525
MonthlyIncome,0.035101404169410697
StockOptionLevel,0.033188542025037536
YearsAtCompany,0.027746122506796977
TotalWorkingYears,0.023933288276906522
YearsWithCurrManager,0.022506669324519658
DistanceFromHome,0.020209906504864057
NumCompaniesWorked,0.019161842465045535
EnvironmentSatisfaction,0.018844126300038067
JobLevel,0.016933802867801665
JobRole,0.016599383733549435
MaritalStatus,0.016254306266143652
DailyRate,0.015429845532318597
JobSatisfaction,0.014103201204150463
YearsInCurrentRole,0.013620797930211244
HourlyRate,0.011716786053227913
MonthlyRate,0.011101267406993987
Department,0.011098093632386497
PercentSalaryHike,0.009288373803025175
JobInvolvement,0.008725913643768894
YearsSinceLastPromotion,0.008457355923472165
RelationshipSatisfaction,0.007771581033728965
WorkLifeBalance,0.007400538301688659
TrainingTimesLastYear,0.006165952578527788
BusinessTravel,0.004974522228983592
EducationField,0.004802991735162898
Education,0.004723625770111049
Gender,0.0034101913906260193
PerformanceRating,0.0007193392941447736
